Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ,
16.56,322.34201,506.565979,559.822021,594.461975,675.719971,828.203003,860.286987,1045.429932,1195.009888,
16.58,322.151978,509.769989,564.591003,591.752991,675.719971,828.088989,860.515991,1045.580078,1195.539917,
16.6,322.418976,512.13501,569.320984,588.700989,675.872986,828.507996,860.705994,1046.069946,1195.160034,
16.62,322.380005,514.576965,572.60199,585.648987,675.643982,828.356018,860.858948,1045.77002,1194.929932,
16.64,321.999023,516.179016,575.692017,582.101013,675.566956,828.432007,861.011963,1046.27002,1194.740112,
16.66,322.266022,517.286011,578.820984,578.820007,674.880981,828.774963,861.164001,1046.300049,1194.47998,
16.68,321.999023,518.163025,580.460999,575.311035,674.536987,828.737,860.782959,1046.419922,1194.319946,
16.7,322.228027,518.468018,581.911011,572.106018,674.002991,828.927979,861.240051,1046.679932,1193.900024,
16.72,322.189972,518.239014,582.825989,568.864014,673.317017,828.737,861.316956,1046.679932,1193.860107,
16.74,322.495026,518.087036,583.169983,565.200989,673.088013,828.698975,861.240051,1046.839966,1193.829956,
16.76,322.72403,517.247009,583.169983,561.690979,673.010986,829.003967,861.927002,1046.880005,1193.789917,
16.78,322.609009,515.797974,582.825989,558.333984,672.705994,829.385986,861.965027,1046.910034,1193.560059,
16.8,322.495026,514.61499,582.291992,555.396973,672.896973,829.003967,861.888977,1047.140015,1193.219971,
16.82,322.380005,513.088989,580.766052,552.153992,673.544983,828.698975,862.117981,1047.449951,1193.179932,
16.84,322.228027,511.257996,579.697998,549.559998,673.773987,829.195007,862.422974,1047.559937,1192.98999,
16.86,322.34201,509.311981,578.019043,547.613953,674.269958,829.461975,862.460999,1047.599976,1192.569946,
16.88,322.304016,506.946991,576.302979,546.35498,674.95697,829.385986,862.117981,1047.940063,1192.48999,
16.9,322.647003,504.315033,573.785034,545.820984,675.223999,829.690979,862.155945,1047.829956,1192.339966,
16.92,322.800018,501.834991,571.458008,546.316956,675.643982,829.653015,862.346985,1048.320068,1192.070068,
16.94,322.609009,499.278992,569.131042,548.224976,676.216003,829.348022,862.346985,1048.52002,1192.190063,
16.96,322.609009,496.22699,566.384033,550.781006,676.253967,829.61499,862.728027,1048.359985,1191.609985,
16.98,322.34201,493.098999,563.674988,554.367004,676.369019,829.804993,862.957031,1048.550049,1191.349976,
17,322.495026,490.35199,560.776001,559.059021,676.445007,829.385986,862.499023,1048.900024,1191.459961,
17.02,322.304016,487.186005,557.799988,563.752014,676.216003,829.575989,862.575989,1049.01001,1191.190063,
17.04,322.53302,483.828979,554.747986,568.864014,675.795959,829.958008,862.957031,1049.090088,1191.119995,
17.06,322.647003,480.928986,551.544006,574.700012,675.682007,829.919983,863.147949,1049.160034,1190.73999,
17.08,322.609009,477.64798,548.376953,580.19397,675.414978,830.07196,863.147949,1049.430054,1191.230103,
17.1,322.609009,474.557983,545.210999,585.497009,675.109985,830.187012,863.300049,1049.659912,1191.119995,
